01/04/21 (05:45:07) | INFO: New instance of bpytop version 1.0.63 started with pid 136545
01/04/21 (05:48:49) | DEBUG: Collect and draw completed in 0.204386 seconds
01/04/21 (05:48:50) | DEBUG: Init completed in 0.880849 seconds
01/04/21 (05:49:06) | INFO: New instance of bpytop version 1.0.63 started with pid 137632
01/04/21 (05:49:06) | INFO: Loglevel set to DEBUG
01/04/21 (05:49:06) | DEBUG: Using psutil version 5.8.0
01/04/21 (05:49:06) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (05:49:06) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (05:49:07) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (05:49:07) | DEBUG: Collect and draw completed in 0.083061 seconds
01/04/21 (05:49:09) | DEBUG: Init completed in 3.001456 seconds
01/04/21 (05:51:22) | INFO: New instance of bpytop version 1.0.63 started with pid 138325
01/04/21 (05:51:22) | INFO: Loglevel set to DEBUG
01/04/21 (05:51:22) | DEBUG: Using psutil version 5.8.0
01/04/21 (05:51:22) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (05:51:22) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (05:51:22) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (05:51:22) | DEBUG: Collect and draw completed in 0.261739 seconds
01/04/21 (05:51:43) | INFO: New instance of bpytop version 1.0.63 started with pid 138492
01/04/21 (05:51:43) | INFO: Loglevel set to DEBUG
01/04/21 (05:51:43) | DEBUG: Using psutil version 5.8.0
01/04/21 (05:51:43) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (05:51:43) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (05:51:44) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (05:51:44) | DEBUG: Collect and draw completed in 0.217606 seconds
01/04/21 (05:53:56) | INFO: New instance of bpytop version 1.0.63 started with pid 139374
01/04/21 (05:53:56) | INFO: Loglevel set to DEBUG
01/04/21 (05:53:56) | DEBUG: Using psutil version 5.8.0
01/04/21 (05:53:56) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (05:53:56) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (05:53:56) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (05:53:56) | DEBUG: Collect and draw completed in 0.228278 seconds
01/04/21 (05:53:56) | DEBUG: Init completed in 0.308894 seconds
01/04/21 (05:56:03) | INFO: New instance of bpytop version 1.0.63 started with pid 140153
01/04/21 (05:56:03) | INFO: Loglevel set to DEBUG
01/04/21 (05:56:03) | DEBUG: Using psutil version 5.8.0
01/04/21 (05:56:03) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (05:56:03) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (05:56:04) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (05:56:04) | DEBUG: Collect and draw completed in 0.097136 seconds
01/04/21 (05:57:35) | INFO: New instance of bpytop version 1.0.63 started with pid 140736
01/04/21 (05:57:35) | INFO: Loglevel set to DEBUG
01/04/21 (05:57:35) | DEBUG: Using psutil version 5.8.0
01/04/21 (05:57:35) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (05:57:35) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (05:57:35) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (05:57:35) | DEBUG: Collect and draw completed in 0.140074 seconds
01/04/21 (05:57:37) | DEBUG: Init completed in 1.956081 seconds
01/04/21 (06:04:49) | INFO: New instance of bpytop version 1.0.63 started with pid 147767
01/04/21 (06:04:49) | INFO: Loglevel set to DEBUG
01/04/21 (06:04:49) | DEBUG: Using psutil version 5.8.0
01/04/21 (06:04:49) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (06:04:49) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (06:04:49) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (06:04:49) | DEBUG: Collect and draw completed in 0.082658 seconds
01/04/21 (06:04:49) | DEBUG: Init completed in 0.129893 seconds
01/04/21 (06:07:50) | INFO: New instance of bpytop version 1.0.63 started with pid 153502
01/04/21 (06:07:50) | INFO: Loglevel set to DEBUG
01/04/21 (06:07:50) | DEBUG: Using psutil version 5.8.0
01/04/21 (06:07:50) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (06:07:50) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (06:07:50) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (06:07:51) | DEBUG: Collect and draw completed in 0.188467 seconds
01/04/21 (06:07:51) | DEBUG: Init completed in 0.243870 seconds
01/04/21 (06:09:36) | INFO: New instance of bpytop version 1.0.63 started with pid 155813
01/04/21 (06:09:36) | INFO: Loglevel set to DEBUG
01/04/21 (06:09:36) | DEBUG: Using psutil version 5.8.0
01/04/21 (06:09:36) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (06:09:36) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (06:09:36) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (06:09:36) | DEBUG: Collect and draw completed in 0.071470 seconds
01/04/21 (06:09:36) | DEBUG: Init completed in 0.107592 seconds
01/04/21 (07:49:00) | INFO: New instance of bpytop version 1.0.63 started with pid 193266
01/04/21 (07:49:00) | INFO: Loglevel set to DEBUG
01/04/21 (07:49:00) | DEBUG: Using psutil version 5.8.0
01/04/21 (07:49:00) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (07:49:00) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (07:49:01) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (07:49:01) | DEBUG: Collect and draw completed in 0.184008 seconds
01/04/21 (07:49:01) | DEBUG: Init completed in 0.244974 seconds
01/04/21 (07:55:53) | INFO: New instance of bpytop version 1.0.63 started with pid 197143
01/04/21 (07:55:53) | INFO: Loglevel set to DEBUG
01/04/21 (07:55:53) | DEBUG: Using psutil version 5.8.0
01/04/21 (07:55:53) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (07:55:53) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (07:55:53) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (07:55:53) | DEBUG: Collect and draw completed in 0.175209 seconds
01/04/21 (07:55:53) | DEBUG: Init completed in 0.227391 seconds
01/04/21 (08:34:15) | INFO: New instance of bpytop version 1.0.63 started with pid 214151
01/04/21 (08:34:15) | INFO: Loglevel set to DEBUG
01/04/21 (08:34:15) | DEBUG: Using psutil version 5.8.0
01/04/21 (08:34:15) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (08:34:15) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (08:34:15) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (08:34:15) | DEBUG: Collect and draw completed in 0.097724 seconds
01/04/21 (08:34:15) | DEBUG: Init completed in 0.148468 seconds
01/04/21 (09:31:59) | INFO: New instance of bpytop version 1.0.63 started with pid 245843
01/04/21 (09:31:59) | INFO: Loglevel set to DEBUG
01/04/21 (09:31:59) | DEBUG: Using psutil version 5.8.0
01/04/21 (09:31:59) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (09:31:59) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (09:31:59) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (09:31:59) | DEBUG: Collect and draw completed in 0.068299 seconds
01/04/21 (09:31:59) | DEBUG: Init completed in 0.101147 seconds
01/04/21 (09:48:00) | INFO: New instance of bpytop version 1.0.63 started with pid 1222
01/04/21 (09:48:00) | INFO: Loglevel set to DEBUG
01/04/21 (09:48:00) | DEBUG: Using psutil version 5.8.0
01/04/21 (09:48:00) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (09:48:00) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (09:48:00) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (09:48:00) | DEBUG: Collect and draw completed in 0.109441 seconds
01/04/21 (09:48:00) | DEBUG: Init completed in 0.201162 seconds
01/04/21 (09:54:53) | INFO: New instance of bpytop version 1.0.63 started with pid 7868
01/04/21 (09:54:53) | INFO: Loglevel set to DEBUG
01/04/21 (09:54:53) | DEBUG: Using psutil version 5.8.0
01/04/21 (09:54:53) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (09:54:53) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (09:54:53) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (09:54:53) | DEBUG: Collect and draw completed in 0.062093 seconds
01/04/21 (09:54:53) | DEBUG: Init completed in 0.092452 seconds
01/04/21 (09:55:27) | INFO: New instance of bpytop version 1.0.63 started with pid 8472
01/04/21 (09:55:27) | INFO: Loglevel set to DEBUG
01/04/21 (09:55:27) | DEBUG: Using psutil version 5.8.0
01/04/21 (09:55:27) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (09:55:27) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (09:55:27) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (09:55:27) | DEBUG: Collect and draw completed in 0.209907 seconds
01/04/21 (09:55:27) | DEBUG: Init completed in 0.310381 seconds
01/04/21 (13:13:57) | INFO: New instance of bpytop version 1.0.63 started with pid 9673
01/04/21 (13:13:57) | INFO: Loglevel set to DEBUG
01/04/21 (13:13:57) | DEBUG: Using psutil version 5.8.0
01/04/21 (13:13:57) | DEBUG: CMD: /usr/bin/bpytop
01/04/21 (13:13:57) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
01/04/21 (13:13:57) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
01/04/21 (13:13:57) | DEBUG: Collect and draw completed in 0.265149 seconds
01/04/21 (13:13:57) | DEBUG: Init completed in 0.340582 seconds
02/04/21 (02:17:23) | INFO: New instance of bpytop version 1.0.63 started with pid 14567
02/04/21 (02:17:23) | INFO: Loglevel set to DEBUG
02/04/21 (02:17:23) | DEBUG: Using psutil version 5.8.0
02/04/21 (02:17:23) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (02:17:23) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (02:17:23) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (02:17:23) | DEBUG: Collect and draw completed in 0.141141 seconds
02/04/21 (02:17:23) | DEBUG: Init completed in 0.193227 seconds
02/04/21 (02:47:03) | INFO: New instance of bpytop version 1.0.63 started with pid 6542
02/04/21 (02:47:03) | INFO: Loglevel set to DEBUG
02/04/21 (02:47:03) | DEBUG: Using psutil version 5.8.0
02/04/21 (02:47:03) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (02:47:03) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (02:47:03) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (02:47:03) | DEBUG: Collect and draw completed in 0.239506 seconds
02/04/21 (02:47:03) | INFO: New instance of bpytop version 1.0.63 started with pid 6556
02/04/21 (02:47:03) | INFO: Loglevel set to DEBUG
02/04/21 (02:47:03) | DEBUG: Using psutil version 5.8.0
02/04/21 (02:47:03) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (02:47:03) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (02:47:03) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (02:47:03) | DEBUG: Collect and draw completed in 0.061615 seconds
02/04/21 (02:47:03) | DEBUG: Init completed in 0.168033 seconds
02/04/21 (02:47:03) | DEBUG: Init completed in 0.601972 seconds
02/04/21 (05:01:05) | INFO: New instance of bpytop version 1.0.63 started with pid 3476
02/04/21 (05:01:05) | INFO: Loglevel set to DEBUG
02/04/21 (05:01:05) | DEBUG: Using psutil version 5.8.0
02/04/21 (05:01:05) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (05:01:05) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (05:01:05) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (05:01:05) | DEBUG: Collect and draw completed in 0.219582 seconds
02/04/21 (05:01:05) | DEBUG: Init completed in 0.276200 seconds
02/04/21 (05:04:21) | INFO: Loglevel set to INFO
02/04/21 (05:04:21) | INFO: Loglevel set to DEBUG
02/04/21 (05:04:25) | INFO: Loglevel set to INFO
02/04/21 (05:04:26) | INFO: Loglevel set to DEBUG
02/04/21 (05:06:13) | INFO: New instance of bpytop version 1.0.63 started with pid 5015
02/04/21 (05:06:13) | INFO: Loglevel set to DEBUG
02/04/21 (05:06:13) | DEBUG: Using psutil version 5.8.0
02/04/21 (05:06:13) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (05:06:13) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (05:06:13) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (05:06:13) | DEBUG: Collect and draw completed in 0.180930 seconds
02/04/21 (05:06:13) | DEBUG: Init completed in 0.230147 seconds
02/04/21 (13:16:47) | INFO: New instance of bpytop version 1.0.63 started with pid 20278
02/04/21 (13:16:47) | INFO: Loglevel set to DEBUG
02/04/21 (13:16:47) | DEBUG: Using psutil version 5.8.0
02/04/21 (13:16:47) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (13:16:47) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (13:16:48) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (13:16:48) | DEBUG: Collect and draw completed in 0.280309 seconds
02/04/21 (13:16:48) | DEBUG: Init completed in 0.351927 seconds
02/04/21 (13:46:49) | INFO: New instance of bpytop version 1.0.63 started with pid 30537
02/04/21 (13:46:49) | INFO: Loglevel set to DEBUG
02/04/21 (13:46:49) | DEBUG: Using psutil version 5.8.0
02/04/21 (13:46:49) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (13:46:49) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (13:46:50) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (13:46:50) | DEBUG: Collect and draw completed in 0.319277 seconds
02/04/21 (13:46:50) | DEBUG: Init completed in 0.412150 seconds
02/04/21 (13:46:56) | INFO: New instance of bpytop version 1.0.63 started with pid 30651
02/04/21 (13:46:56) | INFO: Loglevel set to DEBUG
02/04/21 (13:46:56) | DEBUG: Using psutil version 5.8.0
02/04/21 (13:46:56) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (13:46:56) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (13:46:56) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (13:46:56) | DEBUG: Collect and draw completed in 0.192783 seconds
02/04/21 (13:46:56) | DEBUG: Init completed in 0.284152 seconds
02/04/21 (13:47:20) | INFO: New instance of bpytop version 1.0.63 started with pid 31054
02/04/21 (13:47:20) | INFO: Loglevel set to DEBUG
02/04/21 (13:47:20) | DEBUG: Using psutil version 5.8.0
02/04/21 (13:47:20) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (13:47:20) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (13:47:21) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (13:47:21) | DEBUG: Collect and draw completed in 0.107217 seconds
02/04/21 (13:47:21) | DEBUG: Init completed in 0.144248 seconds
02/04/21 (13:47:37) | INFO: New instance of bpytop version 1.0.63 started with pid 31384
02/04/21 (13:47:37) | INFO: Loglevel set to DEBUG
02/04/21 (13:47:37) | DEBUG: Using psutil version 5.8.0
02/04/21 (13:47:37) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (13:47:37) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (13:47:38) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (13:47:38) | DEBUG: Collect and draw completed in 0.111023 seconds
02/04/21 (13:47:38) | DEBUG: Init completed in 0.147946 seconds
02/04/21 (13:53:08) | INFO: New instance of bpytop version 1.0.63 started with pid 37739
02/04/21 (13:53:08) | INFO: Loglevel set to DEBUG
02/04/21 (13:53:08) | DEBUG: Using psutil version 5.8.0
02/04/21 (13:53:08) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (13:53:08) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (13:53:08) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (13:53:08) | DEBUG: Collect and draw completed in 0.200483 seconds
02/04/21 (13:53:08) | DEBUG: Init completed in 0.248366 seconds
02/04/21 (14:31:20) | INFO: New instance of bpytop version 1.0.63 started with pid 51530
02/04/21 (14:31:20) | INFO: Loglevel set to DEBUG
02/04/21 (14:31:20) | DEBUG: Using psutil version 5.8.0
02/04/21 (14:31:20) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (14:31:20) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (14:31:20) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (14:31:20) | DEBUG: Collect and draw completed in 0.170296 seconds
02/04/21 (14:31:20) | DEBUG: Init completed in 0.244151 seconds
02/04/21 (16:45:07) | INFO: New instance of bpytop version 1.0.63 started with pid 36617
02/04/21 (16:45:07) | INFO: Loglevel set to DEBUG
02/04/21 (16:45:07) | DEBUG: Using psutil version 5.8.0
02/04/21 (16:45:07) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (16:45:07) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (16:45:07) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (16:45:07) | DEBUG: Collect and draw completed in 0.146043 seconds
02/04/21 (16:45:07) | DEBUG: Init completed in 0.226254 seconds
02/04/21 (17:14:13) | INFO: New instance of bpytop version 1.0.63 started with pid 48744
02/04/21 (17:14:13) | INFO: Loglevel set to DEBUG
02/04/21 (17:14:13) | DEBUG: Using psutil version 5.8.0
02/04/21 (17:14:13) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (17:14:13) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (17:14:14) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (17:14:14) | DEBUG: Collect and draw completed in 0.088409 seconds
02/04/21 (17:14:14) | DEBUG: Init completed in 0.139017 seconds
02/04/21 (17:47:04) | INFO: New instance of bpytop version 1.0.63 started with pid 66956
02/04/21 (17:47:04) | INFO: Loglevel set to DEBUG
02/04/21 (17:47:04) | DEBUG: Using psutil version 5.8.0
02/04/21 (17:47:04) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (17:47:04) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (17:47:04) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (17:47:04) | DEBUG: Collect and draw completed in 0.245816 seconds
02/04/21 (17:47:04) | DEBUG: Init completed in 0.322984 seconds
02/04/21 (18:02:56) | INFO: New instance of bpytop version 1.0.63 started with pid 1435
02/04/21 (18:02:56) | INFO: Loglevel set to DEBUG
02/04/21 (18:02:56) | DEBUG: Using psutil version 5.8.0
02/04/21 (18:02:56) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (18:02:56) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (18:02:57) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (18:02:57) | DEBUG: Collect and draw completed in 0.203878 seconds
02/04/21 (18:02:57) | DEBUG: Init completed in 0.255409 seconds
02/04/21 (18:09:28) | INFO: New instance of bpytop version 1.0.63 started with pid 2545
02/04/21 (18:09:28) | INFO: Loglevel set to DEBUG
02/04/21 (18:09:28) | DEBUG: Using psutil version 5.8.0
02/04/21 (18:09:28) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (18:09:28) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (18:09:28) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (18:09:28) | DEBUG: Collect and draw completed in 0.315854 seconds
02/04/21 (18:09:28) | DEBUG: Init completed in 0.469745 seconds
02/04/21 (18:12:43) | INFO: New instance of bpytop version 1.0.63 started with pid 1354
02/04/21 (18:12:43) | INFO: Loglevel set to DEBUG
02/04/21 (18:12:43) | DEBUG: Using psutil version 5.8.0
02/04/21 (18:12:43) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (18:12:43) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (18:12:43) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (18:12:43) | DEBUG: Collect and draw completed in 0.081719 seconds
02/04/21 (18:12:43) | DEBUG: Init completed in 0.130181 seconds
02/04/21 (18:14:56) | INFO: New instance of bpytop version 1.0.63 started with pid 2898
02/04/21 (18:14:56) | INFO: Loglevel set to DEBUG
02/04/21 (18:14:56) | DEBUG: Using psutil version 5.8.0
02/04/21 (18:14:56) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (18:14:56) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (18:14:56) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (18:14:57) | DEBUG: Collect and draw completed in 0.236402 seconds
02/04/21 (18:14:57) | DEBUG: Init completed in 0.310806 seconds
02/04/21 (18:42:50) | INFO: New instance of bpytop version 1.0.63 started with pid 1270
02/04/21 (18:42:50) | INFO: Loglevel set to DEBUG
02/04/21 (18:42:50) | DEBUG: Using psutil version 5.8.0
02/04/21 (18:42:50) | DEBUG: CMD: /usr/bin/bpytop
02/04/21 (18:42:50) | INFO: Config file version and bpytop version missmatch, will be recreated on exit!
02/04/21 (18:42:50) | DEBUG: new fstab_filter set : ['/', '/boot/efi']
02/04/21 (18:42:51) | DEBUG: Collect and draw completed in 0.081313 seconds
02/04/21 (18:42:51) | DEBUG: Init completed in 0.130224 seconds
02/04/21 (19:20:01) | INFO: New instance of bpytop version 1.0.63 started with pid 17231
02/04/21 (19:20:01) | INFO: Loglevel set to DEBUG
